<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;D;20161011;000000;62.1500000;62.4950000;62.0900000;62.3500000;1223763000
USD000000TOD;D;20161012;000000;62.5525000;62.8875000;62.4650000;62.7950000;1461624000
USD000000TOD;D;20161013;000000;63.2075000;63.4575000;63.1425000;63.3775000;1289033000
USD000000TOD;D;20161014;000000;63.0500000;63.0500000;62.7500000;62.9250000;1191443000
USD000000TOD;D;20161017;000000;63.0125000;63.2000000;62.7150000;62.9300000;1054273000
USD000000TOD;D;20161018;000000;62.9025000;63.0050000;62.7600000;62.9400000;944595000
USD000000TOD;D;20161019;000000;62.7825000;62.7900000;62.3500000;62.4325000;1081309000
USD000000TOD;D;20161020;000000;62.3500000;62.4825000;62.2400000;62.3000000;840350000
USD000000TOD;D;20161021;000000;62.5250000;62.5400000;62.2300000;62.4500000;896114000
USD000000TOD;D;20161024;000000;62.3550000;62.4000000;62.1100000;62.3500000;908219000
USD000000TOD;D;20161025;000000;62.1300000;62.2200000;61.9800000;62.1025000;1241438000
USD000000TOD;D;20161026;000000;62.2500000;62.8700000;62.1700000;62.8250000;1597190000
USD000000TOD;D;20161027;000000;62.8275000;63.2375000;62.5550000;62.6800000;1688382000
USD000000TOD;D;20161028;000000;62.7500000;63.0100000;62.7225000;62.9100000;1158000000
USD000000TOD;D;20161031;000000;63.1000000;63.3000000;63.0600000;63.2625000;1151318000
USD000000TOD;D;20161101;000000;63.2050000;63.2875000;62.8900000;63.1750000;1021807000
USD000000TOD;D;20161102;000000;63.4300000;63.5575000;63.3150000;63.4250000;1066954000
USD000000TOD;D;20161103;000000;63.4800000;63.7575000;63.3900000;63.7125000;1179325000
USD000000TOD;D;20161107;000000;63.9450000;64.0850000;63.6525000;63.6550000;1264028000
USD000000TOD;D;20161108;000000;63.7100000;63.8300000;63.6050000;63.7700000;882680000
USD000000TOD;D;20161109;000000;64.1525000;64.1525000;63.2050000;63.7000000;1787524000
USD000000TOD;D;20161110;000000;63.8325000;64.0150000;63.2175000;64.0075000;1560746000
USD000000TOD;D;20161114;000000;65.6000000;66.4775000;65.6000000;66.2200000;1418409000
USD000000TOD;D;20161115;000000;65.9200000;65.9850000;65.1225000;65.2500000;1109059000
USD000000TOD;D;20161116;000000;63.9925000;65.5550000;63.9875000;65.0200000;1517698000
USD000000TOD;D;20161117;000000;64.7900000;65.0825000;64.2725000;64.5425000;1135356000
USD000000TOD;D;20161118;000000;65.0000000;65.2850000;64.5500000;64.6000000;1571613000
USD000000TOD;D;20161121;000000;64.4625000;64.4875000;63.9200000;63.9450000;1231107000
USD000000TOD;D;20161122;000000;63.4975000;64.1175000;63.4475000;63.8750000;1366253000
USD000000TOD;D;20161123;000000;63.8900000;64.6100000;63.7025000;64.5150000;1933199000
USD000000TOD;D;20161125;000000;64.6725000;64.8275000;64.2600000;64.6500000;1283216000
USD000000TOD;D;20161128;000000;64.7925000;65.2000000;64.7250000;64.7900000;1434649000
USD000000TOD;D;20161129;000000;64.8975000;65.4700000;64.8375000;65.3575000;1128680000
USD000000TOD;D;20161130;000000;65.1200000;65.3800000;63.9600000;64.1900000;1922059000
USD000000TOD;D;20161201;000000;63.8200000;64.1800000;63.4825000;63.6700000;1519405000
USD000000TOD;D;20161202;000000;63.8025000;64.3050000;63.7750000;63.9500000;1435529000
USD000000TOD;D;20161205;000000;63.9950000;64.0900000;63.5175000;63.6175000;980926000
USD000000TOD;D;20161206;000000;63.8100000;63.9600000;63.6375000;63.7550000;874473000
USD000000TOD;D;20161207;000000;63.9000000;63.9725000;63.5575000;63.6600000;793497000
USD000000TOD;D;20161208;000000;63.3700000;63.5225000;63.2325000;63.3725000;1010565000
USD000000TOD;D;20161209;000000;63.3025000;63.3550000;62.8625000;62.9600000;1054161000
USD000000TOD;D;20161212;000000;62.0125000;62.0125000;60.9400000;61.1525000;1698406000
USD000000TOD;D;20161213;000000;61.2175000;61.3150000;60.6125000;60.9100000;1404233000
USD000000TOD;D;20161214;000000;60.8650000;61.2475000;60.6875000;61.1200000;1383331000
USD000000TOD;D;20161215;000000;61.8375000;62.0700000;61.3075000;61.7550000;3035893000
USD000000TOD;D;20161216;000000;61.8350000;61.8450000;61.4050000;61.4800000;1016721000
USD000000TOD;D;20161219;000000;61.8350000;61.9875000;61.6450000;61.8525000;982527000
USD000000TOD;D;20161220;000000;61.9825000;62.0500000;61.4225000;61.4600000;1109421000
USD000000TOD;D;20161221;000000;61.2500000;61.2500000;60.9400000;60.9825000;1047001000
USD000000TOD;D;20161222;000000;61.0500000;61.0975000;60.7250000;60.8025000;1457032000
USD000000TOD;D;20161223;000000;60.9200000;61.3200000;60.7200000;61.1800000;1436208000
USD000000TOD;D;20161227;000000;60.9500000;60.9575000;60.5900000;60.5900000;1255946000
USD000000TOD;D;20161228;000000;60.5425000;60.7350000;60.5150000;60.5600000;1431151000
USD000000TOD;D;20161229;000000;60.3600000;60.7000000;60.0950000;60.5600000;1987736000
USD000000TOD;D;20161230;000000;60.3900000;61.5375000;60.2100000;60.9675000;1936746000
USD000000TOD;D;20170109;000000;59.6400000;60.0350000;59.6000000;59.8775000;1041680000
USD000000TOD;D;20170110;000000;60.0375000;60.1600000;59.8050000;59.9975000;1506766000
USD000000TOD;D;20170111;000000;60.0700000;60.4200000;60.0250000;60.2625000;1308087000
USD000000TOD;D;20170112;000000;59.7025000;59.7375000;59.0750000;59.2000000;1178483000
USD000000TOD;D;20170113;000000;59.3625000;59.5325000;59.2075000;59.4200000;982183000
USD000000TOD;D;20170117;000000;59.6400000;59.7500000;58.9350000;59.1500000;1503678000
USD000000TOD;D;20170118;000000;59.3900000;59.4250000;59.0175000;59.3450000;1077799000
USD000000TOD;D;20170119;000000;59.4100000;60.2550000;59.1725000;59.6625000;1867658000
USD000000TOD;D;20170120;000000;59.7800000;59.8925000;59.5275000;59.7400000;1261439000
USD000000TOD;D;20170123;000000;59.7050000;59.7050000;59.2925000;59.5100000;1167120000
USD000000TOD;D;20170124;000000;59.3400000;59.3700000;59.0600000;59.2000000;1248521000
USD000000TOD;D;20170125;000000;59.1700000;59.4600000;59.0500000;59.2750000;1647506000
USD000000TOD;D;20170126;000000;59.4600000;60.6000000;59.3700000;60.2900000;1780218000
USD000000TOD;D;20170127;000000;60.4575000;60.5150000;59.6150000;59.7000000;1522570000
USD000000TOD;D;20170130;000000;59.9750000;60.2700000;59.8325000;60.0850000;1392790000
USD000000TOD;D;20170131;000000;59.8950000;60.1950000;59.8550000;59.9500000;1347771000
USD000000TOD;D;20170201;000000;60.2300000;60.4150000;60.0600000;60.1700000;935777000
USD000000TOD;D;20170202;000000;60.0025000;60.1100000;59.3800000;59.5750000;1288538000
USD000000TOD;D;20170203;000000;59.3625000;59.5675000;59.0000000;59.0750000;1466558000
USD000000TOD;D;20170206;000000;58.9500000;58.9500000;58.5700000;58.8775000;1158966000
USD000000TOD;D;20170207;000000;59.1150000;59.4875000;58.9800000;59.4000000;1139582000
USD000000TOD;D;20170208;000000;59.4225000;59.6125000;59.1100000;59.1725000;1100121000
USD000000TOD;D;20170209;000000;59.1300000;59.1350000;58.7300000;58.8125000;1028791000
